지역,구분,학교,학교 외 집단급식,음식점,가정집,기타,불명,합계
서울,발생건수,4,10,3,1,8,0,26
서울,환자수,176,276,60,2,67,0,581
부산,발생건수,1,5,22,0,1,0,29
부산,환자수,49,125,715,0,27,0,916
대구,발생건수,0,1,2,0,3,0,6
대구,환자수,0,29,142,0,48,0,219
인천,발생건수,0,2,2,0,1,0,5
인천,환자수,0,41,43,0,15,0,99
광주,발생건수,0,1,9,0,1,0,11
광주,환자수,0,6,28,0,16,0,50
대전,발생건수,0,1,2,0,0,1,4
대전,환자수,0,4,5,0,0,3,12
울산,발생건수,1,0,0,0,0,0,1
울산,환자수,5,0,0,0,0,0,5
세종,발생건수,0,1,1,0,0,0,2
세종,환자수,0,110,148,0,0,0,258
경기,발생건수,3,10,15,0,14,0,42
경기,환자수,182,279,567,0,133,0,1161
강원,발생건수,2,2,8,2,2,0,16
강원,환자수,98,13,133,10,16,0,270
충북,발생건수,1,7,11,0,3,0,22
충북,환자수,28,85,148,0,51,0,312
충남,발생건수,1,2,12,0,4,0,19
충남,환자수,46,54,386,0,22,0,508
전북,발생건수,2,2,3,0,1,0,8
전북,환자수,17,31,38,0,17,0,103
전남,발생건수,2,2,8,0,1,0,13
전남,환자수,11,42,80,0,12,0,145
경북,발생건수,1,3,10,0,0,0,14
경북,환자수,30,44,55,0,0,0,129
경남,발생건수,2,5,6,0,4,0,17
경남,환자수,52,69,140,0,74,0,335
제주,발생건수,1,1,5,0,1,0,8
제주,환자수,14,19,17,0,3,0,53
불명,발생건수,0,0,0,0,0,2,2
불명,환자수,0,0,0,0,0,4,4
합계,발생건수,21,55,119,3,44,3,245
합계,환자수,708,1227,2705,12,501,7,5160
